All,16610481,13867997,189544
Andaman and Nicobar Islands,5569,5358,65
Andhra Pradesh,1009228,927418,7579
Arunachal Pradesh,17430,16921,56
Assam,233453,218339,1172
Bihar,378442,300012,2010
Chandigarh,37232,32180,430
Chhattisgarh,622965,492593,6893
Dadra and Nagar Haveli and Daman and Diu,6142,4353,4
Delhi,980679,875109,13541
Goa,73644,61628,976
Gujarat,467640,361493,6019
Haryana,402843,335143,3643
Himachal Pradesh,84065,70539,1280
Jammu and Kashmir,156344,137240,2111
Jharkhand,190692,145499,1778
Karnataka,1274959,1046554,14075
Kerala,1350501,1166135,5055
Ladakh,13089,10920,135
Lakshadweep,1805,884,1
Madhya Pradesh,472785,380208,4937
Maharashtra,4161676,3404792,63252
Manipur,30151,29180,381
Meghalaya,15631,14236,157
Mizoram,5283,4627,12
Nagaland,12889,12338,94
Odisha,394694,356003,1973
Puducherry,51372,44314,728
Punjab,326447,274240,8264
Rajasthan,483273,362526,3453
Sikkim,7037,6207,137
Tamil Nadu,1051487,943044,13395
Telangana,387106,326997,1961
Tripura,34429,33390,394
Unknown,0,0,0
Uttar Pradesh,1013370,728980,10737
Uttarakhand,142349,110379,2021
West Bengal,713780,628218,10825
All,16610481,13867997,189544
Andaman and Nicobar Islands,5569,5358,65
Andhra Pradesh,1009228,927418,7579
Arunachal Pradesh,17430,16921,56
Assam,233453,218339,1172
Bihar,378442,300012,2010
Chandigarh,37232,32180,430
Chhattisgarh,622965,492593,6893
Dadra and Nagar Haveli and Daman and Diu,6142,4353,4
Delhi,980679,875109,13541
Goa,73644,61628,976
Gujarat,467640,361493,6019
Haryana,402843,335143,3643
Himachal Pradesh,84065,70539,1280
Jammu and Kashmir,156344,137240,2111
Jharkhand,190692,145499,1778
Karnataka,1274959,1046554,14075
Kerala,1350501,1166135,5055
Ladakh,13089,10920,135
Lakshadweep,1805,884,1
Madhya Pradesh,472785,380208,4937
Maharashtra,4161676,3404792,63252
Manipur,30151,29180,381
Meghalaya,15631,14236,157
Mizoram,5283,4627,12
Nagaland,12889,12338,94
Odisha,394694,356003,1973
Puducherry,51372,44314,728
Punjab,326447,274240,8264
Rajasthan,483273,362526,3453
Sikkim,7037,6207,137
Tamil Nadu,1051487,943044,13395
Telangana,387106,326997,1961
Tripura,34429,33390,394
Unknown,0,0,0
Uttar Pradesh,1013370,728980,10737
Uttarakhand,142349,110379,2021
West Bengal,713780,628218,10825
